Entity Type,CoNLL-03 P,CoNLL-03 R,CoNLL-03 F1,CleanCoNLL P,CleanCoNLL R,CleanCoNLL F1,F1 Delta
**Overall**,59.79,62.80,61.26,57.65,59.81,58.71,-2.55
PER,74.89,88.00,80.92,75.28,89.75,81.88,0.96
ORG,50.20,45.51,47.74,52.37,41.64,46.40,-1.34
LOC,54.94,82.01,65.80,48.27,85.00,61.57,-4.23
MISC,0.00,0.00,0.00,0.00,0.00,0.00,0.00
